config	experiment	group	mazeFile	numStartingPositions	pcSizes	minX	maxX	numX	minY	maxY	numY	traces	numEpisodes
c61	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16,0.16	-1.0,-0.11000000000000001,0.2599999999999999	1.0,0.31000000000000005,0.89	5,3,4	-1.4249999999999998,0.9786666666666666,-0.33199999999999996	1.4249999999999998,1.4213333333333333,0.33199999999999996	7,3,4	0.1,0.1,0.1	70000
c62	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16,0.16	-1.0,-0.11000000000000001,0.2599999999999999	1.0,0.31000000000000005,0.89	5,3,4	-1.4249999999999998,0.9786666666666666,-0.33199999999999996	1.4249999999999998,1.4213333333333333,0.33199999999999996	7,3,4	0.2,0.2,0.2	70000
c63	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16,0.16	-1.0,-0.11000000000000001,0.2599999999999999	1.0,0.31000000000000005,0.89	5,3,4	-1.4249999999999998,0.9786666666666666,-0.33199999999999996	1.4249999999999998,1.4213333333333333,0.33199999999999996	7,3,4	0.3,0.3,0.3	70000
c64	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16,0.16	-1.0,-0.11000000000000001,0.2599999999999999	1.0,0.31000000000000005,0.89	5,3,4	-1.4249999999999998,0.9786666666666666,-0.33199999999999996	1.4249999999999998,1.4213333333333333,0.33199999999999996	7,3,4	0.4,0.4,0.4	70000
c65	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16,0.16	-1.0,-0.11000000000000001,0.2599999999999999	1.0,0.31000000000000005,0.89	5,3,4	-1.4249999999999998,0.9786666666666666,-0.33199999999999996	1.4249999999999998,1.4213333333333333,0.33199999999999996	7,3,4	0.5,0.5,0.5	70000
c66	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16,0.16	-1.0,-0.11000000000000001,0.2599999999999999	1.0,0.31000000000000005,0.89	5,3,4	-1.4249999999999998,0.9786666666666666,-0.33199999999999996	1.4249999999999998,1.4213333333333333,0.33199999999999996	7,3,4	0.6,0.6,0.6	70000
c67	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16,0.16	-1.0,-0.11000000000000001,0.2599999999999999	1.0,0.31000000000000005,0.89	5,3,4	-1.4249999999999998,0.9786666666666666,-0.33199999999999996	1.4249999999999998,1.4213333333333333,0.33199999999999996	7,3,4	0.7,0.7,0.7	70000
c68	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16,0.16	-1.0,-0.11000000000000001,0.2599999999999999	1.0,0.31000000000000005,0.89	5,3,4	-1.4249999999999998,0.9786666666666666,-0.33199999999999996	1.4249999999999998,1.4213333333333333,0.33199999999999996	7,3,4	0.8,0.8,0.8	70000
c69	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.4,0.16,0.16	-1.0,-0.11000000000000001,0.2599999999999999	1.0,0.31000000000000005,0.89	5,3,4	-1.4249999999999998,0.9786666666666666,-0.33199999999999996	1.4249999999999998,1.4213333333333333,0.33199999999999996	7,3,4	0.9,0.9,0.9	70000
c70	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.44,0.16,0.16	-0.924,-0.11000000000000001,0.2599999999999999	0.924,0.31000000000000005,0.89	4,3,4	-1.3857142857142857,0.9786666666666666,-0.33199999999999996	1.3857142857142857,1.4213333333333333,0.33199999999999996	6,3,4	0.0,0.0,0.0	70000
c71	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.44,0.16,0.16	-0.924,-0.11000000000000001,0.2599999999999999	0.924,0.31000000000000005,0.89	4,3,4	-1.3857142857142857,0.9786666666666666,-0.33199999999999996	1.3857142857142857,1.4213333333333333,0.33199999999999996	6,3,4	0.1,0.1,0.1	70000
c72	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.44,0.16,0.16	-0.924,-0.11000000000000001,0.2599999999999999	0.924,0.31000000000000005,0.89	4,3,4	-1.3857142857142857,0.9786666666666666,-0.33199999999999996	1.3857142857142857,1.4213333333333333,0.33199999999999996	6,3,4	0.2,0.2,0.2	70000
c73	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.44,0.16,0.16	-0.924,-0.11000000000000001,0.2599999999999999	0.924,0.31000000000000005,0.89	4,3,4	-1.3857142857142857,0.9786666666666666,-0.33199999999999996	1.3857142857142857,1.4213333333333333,0.33199999999999996	6,3,4	0.3,0.3,0.3	70000
c74	experiments/setups/experiment_1.xml	g1	experiments/mazes/M1.xml	7	0.44,0.16,0.16	-0.924,-0.11000000000000001,0.2599999999999999	0.924,0.31000000000000005,0.89	4,3,4	-1.3857142857142857,0.9786666666666666,-0.33199999999999996	1.3857142857142857,1.4213333333333333,0.33199999999999996	6,3,4	0.4,0.4,0.4	70000
